empresa,grupo_empresario,tipo,provincia,localidad,direccion,telefono,email,web,volumen_faena_cabezas,notas
Frigorífico General Pico SA,,Exportador,La Pampa,General Pico,Calle 24 esq. 47,+54 2302 430271,info@frigopico.com,frigopico.com,144000-168000,2 plantas (Gral Pico y Trenel). 12000-14000 cab/mes. +850 clientes
SAIyE de la Patagonia,,Ambos,Patagonia,,,,,,,
Frigorífico Bermejo SA,,Exportador,Salta,,,"0387-4351515",ventas@fbsa.com.ar,frigorificobermejo.com.ar,,
Mercobeef SA (ex-Quickfood),Minerva,Exportador,San Luis,,,,,quickfood-ar.com,,Ex Quickfood adquirida por Minerva
Black Bamboo Enterprises SA,Grupo Lequio,Exportador,Santa Fe,,,,,,,
FRIAR SA,,Exportador,Santa Fe,Reconquista,Bv. Hipólito Irigoyen 298,+54 3482 43-8273 / 0800-345-4770,friarsa@e-friar.com.ar,friarsa.com.ar,,Cap. 1500 cab/día. +60 años. Of. BA: A.M. de Justo 740 P2 Of.12 CABA
Plantas Mattievich,Grupo Lequio,Exportador,Santa Fe,Carcarañá,RN°9 KM 354,+54 3464 422650,info@mattievich.com.ar,mattievich.com.ar,,5 plantas en Santa Fe. +600 empleados. Adquirida 80% por Grupo Lequio en 2025
Quickfood SA,Marfrig,Exportador,Santa Fe,San Jorge,Av. Ortiz 2653,+54 11 5432-1800,ventas@quick-food.com.ar,quickfoods.com.ar,,Plantas en San Jorge / Baradero / Arroyo Seco. Marcas Paty y Vieníssima. Capacidad 6000 tn/mes
Rafaela Alimentos SA,,Exportador,Santa Fe,Rafaela,"Paraná 899",+54 3492 438800 / 0800-555-LARIO,consultas@rafalim.com,rafaelaalimentos.com,,Empresa familiar +100 años. Planta Rafaela (SENASA #66) y Casilda (SENASA #1399)
Swift Argentina SA,Minerva/JBS,Exportador,Santa Fe,Rosario / Venado Tuerto,,011-4006-8800,info@minervafoods.com,swift.com.ar,,Plantas en Rosario y Venado Tuerto
Frigorífico Forres Beltrán SA,Grupo Beltrán,Exportador,Santiago del Estero,Ing. Forres,Ruta Nacional N°34 Km 798,+54 385 490-2352,info@frigorificoforres.com.ar,forres-beltran.com,,Plantas del grupo en Córdoba (Guiñazú Villa Allende Toledo Morteros San Francisco Villa María) Catamarca y Sgo del Estero
